original_amount,txn_date,plaid_category,plaid_dirty_name
3.5,2019-11-20,['Food and Drink'],PepsiCo
5.09,2020-11-04,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 11/04
9.39,2019-05-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
10.2,2020-09-14,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 09/13
53.4,2020-11-06,"['Shops', 'Pets']",CHEWY.COM POS FL US XX4330
16.6,2020-10-02,"['Service', 'Food and Beverage']",DOORDASH*DUNKIN WWW.DOORDASH.
10,2019-10-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 10/14
14.95,2020-07-23,"['Shops', 'Bookstores']",Audible
9.35,2020-11-01,"['Shops', 'Beauty Products']",Sephora
2,2020-12-10,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
9.52,2020-07-13,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
1.75,2019-12-09,['Food and Drink'],PepsiCo
12.94,2020-01-21,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 01/18
15.06,2020-12-29,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
20.26,2020-03-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2018-07-11,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
13.42,2019-10-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
5,2019-08-08,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
15.57,2020-09-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
3.5,2019-11-06,['Food and Drink'],PepsiCo
16.28,2018-12-17,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
8.71,2019-12-12,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
5,2018-06-13,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
3,2019-04-03,"['Shops', 'Discount Stores']",Dollar General
4.76,2020-06-24,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5.29,2020-10-24,"['Shops', 'Discount Stores']",Dollar General
5,2018-08-01,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
50.71,2020-06-08,"['Travel', 'Gas Stations']",Cumberland Farms
53.66,2020-05-28,"['Shops', 'Pets']",CHEWY.COM FL PMT-KKQOCDSKBK
194.64,2020-01-24,"['Service', 'Shipping and Freight']",UPS
5,2018-07-20,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
199.81,2020-10-15,"['Shops', 'Beauty Products']",Sephora
2.43,2016-08-29,"['Shops', 'Pharmacies']",Duane Reade
4,2020-08-03,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 07/31
448.8,2019-10-07,"['Transfer', 'Debit']",ALLY CASHBACK
12.32,2019-12-09,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
3.31,2019-10-10,"['Shops', 'Pharmacies']",Duane Reade
5,2018-06-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
5,2019-08-13,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
3,2018-08-13,"['Travel', 'Public Transportation Services']",VENTRA VENDING 10701
10,2019-08-12,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 08/11
14.22,2018-12-31,"['Travel', 'Gas Stations']",Debit Purchase -visa 12/27 card 6332 Marathon Petro12versailles
82.45,2019-10-30,"['Shops', 'Pharmacies']",Duane Reade
18.5,2021-01-20,['Service'],WIX.COM*Prem 0018006000949
21.82,2019-08-02,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
61.16,2019-12-24,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
32,2017-06-26,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
718.79,2019-04-02,"['Transfer', 'Debit']",ALLY CASHBACK
75.71,2020-04-23,"['Service', 'Shipping and Freight']",UPS
19.73,2019-03-11,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
11.73,2018-12-31,"['Shops', 'Supermarkets and Groceries']",Jewel-Osco
5.61,2021-01-11,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
28.82,2020-02-17,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
32.35,2019-05-24,"['Service', 'Shipping and Freight']",UPS
5.3,2019-06-13,"['Travel', 'Gas Stations']",Sheetz
18.5,2020-11-23,['Service'],Recurring Payment - WIX.COM*Premium-Pl
5,2017-07-31,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
5.15,2019-11-29,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
14.53,2019-04-27,"['Food and Drink', 'Restaurants']",Chick-fil-A
12.58,2019-02-25,"['Service', 'Insurance']",State Farm
10,2020-06-22,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/20
2.17,2019-11-15,"['Shops', 'Discount Stores']",Dollar Tree
10,2020-06-22,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 06/20
13.84,2020-04-13,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
6.59,2020-12-09,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
20,2020-10-13,"['Travel', 'Tolls and Fees']",MAINE TURNPIKE AUTHORITY
20.85,2020-07-29,"['Food and Drink', 'Restaurants']",VISA DDA PUR 476501 TROPICAL SMOOTHIE NC49 CHARLOTTE *
20,2019-10-16,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
8,2019-05-02,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
13.97,2019-09-15,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
28.5,2019-10-10,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
14.13,2019-01-31,"['Shops', 'Clothing and Accessories']",T.J.Maxx
15.02,2020-05-20,"['Travel', 'Gas Stations']",QuikTrip
60.47,2019-09-24,"['Service', 'Shipping and Freight']",UPS*1ZT3P27U0200025811
4.48,2017-08-25,"['Food and Drink', 'Restaurants']",DUNKIN #336909 Q35 ATLANTIC CITY NJ 08/24
5.05,2020-09-14,"['Travel', 'Gas Stations']",MARATHON PETRO1207 09-11 FORT
15.25,2019-08-08,"['Travel', 'Gas Stations']",MARATHON PETRO135046
10.72,2019-09-09,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2018-03-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
4,2019-06-17,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
14.89,2020-05-26,"['Service', 'Shipping and Freight']",THE UPS STORE #5803 COLLEGE STATI TX 05/26
5,2019-02-19,['Service'],WIX.COM*3906096
100,2020-10-05,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/03
69.52,2020-12-30,"['Shops', 'Pets']",CHEWY.COM
13.39,2018-09-26,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
13.43,2019-02-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5.91,2021-01-08,"['Travel', 'Gas Stations']",POS DEBIT FOOD SMAR 2901 W ARMIT CHICAGO IL 00NN09742
